nom groupe ssgroupe Energie EnergiePredite Eau Proteines Glucides Lipides Sucres Fibres Polyols Alcool AcidesOrganiques Calcium Cuivre Fer Magnesium Manganese Phosphore Potassium Zinc VitamineC
"Poireau, surgelé, cru" légumes "légumes crus" 26.7 27.3736394906618 93.2 1.42 3.35 0.29 2.95 2.55 0.056 0 NA 63 NA 0.8 NA NA NA NA NA 26
"Salsifis, surgelé, cru" légumes "légumes crus" NA 35.23565848989004 85.8 2.65 4.15 0.15 2.5 5.8 NA 0 NA NA NA NA NA NA NA NA NA NA
"Oignon rouge, cru" légumes "légumes crus" 36.3 36.74132700204734 90.3 1.31 5.63 0.4 5.2 2.5 NA 0 0.12 22 0.05 0.19 9 0.12 29 190 0.21 4.09
"Légumes pour potages, surgelés, crus" légumes "légumes crus" 34.1 34.1013982189239 89.2 1.44 4.69 0.44 2.5 2.86 0.048 0 NA 37 NA 1 NA NA NA NA NA 25
"Légumes pour ratatouille, surgelés" légumes "légumes crus" NA 22.98911926194717 94.2 1.01 3.23 0.089 2.88 1.67 NA 0 NA NA NA NA NA NA NA NA NA NA
"Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons)" légumes "légumes crus" NA 50.17533206251235 85.7 2.4 8.48 0.078 2.62 3.62 NA 0 NA NA NA NA NA NA NA NA NA 16
"Haricot plat, cru" légumes "légumes crus" NA 32.646110179039816 92.2 1.93 4.47 0.12 1.3 2.97 NA 0 NA 60 NA 0.8 NA NA NA NA NA 16
"Asperge, verte, crue" légumes "légumes crus" NA 27.178725491204542 92.5 2.46 2.03 0.27 1.5 2.15 NA 0 NA 22.4 NA 1 12.2 NA 85.5 267 NA 15.5
"Chou romanesco ou brocoli à pomme, cru" légumes "légumes crus" NA 31.38456275990377 89.8 2.93 2.2 0.4 2.2 2.35 NA 0 NA 34.5 0.041 0.92 20 0.25 62 300 0.64 70.6
"Salade verte, crue, sans assaisonnement" légumes "légumes crus" NA 16.35988637412556 96.1 1.01 1.5 0.1 0.83 1.3 NA 0 NA 35.3 0.061 0.64 15.3 0.22 23.5 260 0.18 1.95
"Artichaut, cuit" légumes "légumes cuits" NA 23.570800086510513 85.8 2.53 0.99 0.28 0.99 8.3 NA 0 NA 42.9 0.082 0.67 44.6 0.14 73 427 0.29 9.1
"Asperge, bouillie/cuite à l'eau" légumes "légumes cuits" NA 23.987359019200447 93.4 2.68 0.81 0.32 0.81 1.8 NA 0 NA 19.9 0.074 0.74 6.31 0.049 51.5 198 0.2 16.1
"Aubergine, cuite" légumes "légumes cuits" NA 30.026683971055526 88.6 1.33 4.17 0.28 3.41 4.3 NA 0 NA 20.1 0.058 0.25 15 0.12 15 123 0.098 1.3
"Betterave rouge, cuite" légumes "légumes cuits" 42.8 43.22048352001027 88.3 1.44 7.13 0.4 6.7 2.5 NA 0 0.13 24 0.07 0.29 17 0.31 18 320 0.29 NA
"Brocoli, cuit" légumes "légumes cuits" NA 26.590782861718846 92.5 2.1 1.1 0.78 1.1 1.5 NA 0 NA 43.3 NA NA 11.2 NA 51 125 NA 23.9
"Carotte, appertisée, égouttée" légumes "légumes cuits" 21.9 23.019685801570184 93 0.67 3.4 0.2 2.49 1.75 0.13 0 0.19 25 0.1 0.64 8 0.45 24 179 0.26 2.7
"Carotte, cuite" légumes "légumes cuits" 18.9 18.371509996182525 93 0.55 2.6 0.1 1.3 2.8 0.13 0 NA 31.5 NA NA 7.5 NA 18 96.4 NA NA
"Champignon, tout type, appertisé, égoutté" légumes "légumes cuits" 24.9 26.51915846652041 91.1 1.87 2.56 0.29 2.19 2.4 0.37 0 0.13 18.9 0.15 0.79 6.65 0.035 66 129 0.51 0
"Chou de Bruxelles, cuit" légumes "légumes cuits" NA 34.80651093136629 87.6 2.6 4.2 0.11 1.7 3.2 NA 0 NA 36.2 NA NA 16.9 NA 65 324 NA 56.4
"Chou vert, cuit" légumes "légumes cuits" NA 25.75133751318194 93.9 1.03 3.04 0.45 2.79 2.4 NA 0 NA 69.7 0.098 0.28 15.1 0.18 33 190 0.22 27.3
"Chou-fleur, cuit" légumes "légumes cuits" 20.9 23.053435086500812 93.7 1.6 1.6 0.46 1.59 2 0.015 0 NA 19.2 0.05 0.31 12.9 0.12 34 238 0.22 9.7
"Coeur de palmier, appertisé, égoutté" légumes "légumes cuits" NA 37.0812364274763 90.2 2.45 4.03 0.5 1.5 2.32 NA 0 NA 58 0.13 3.13 38 1.39 65 177 1.15 7.9
"Courgette, pulpe et peau, cuite" légumes "légumes cuits" 15.5 18.02693231389543 93.8 0.93 1.4 0.36 1.39 1.5 0.0088 0 NA 19.3 0.085 0.32 22.3 0.089 65 238 0.22 2.9
"Céleri branche, cuit" légumes "légumes cuits" NA 14.869886153200332 94.1 0.83 1.2 0.16 1.2 1.6 NA 0 NA 53.3 0.059 0.42 9 0.11 25 284 0.077 6.1
"Céleri-rave, cuit" légumes "légumes cuits" NA 37.019606173079524 90.1 1.3 4.6 0.86 2.8 2.6 NA 0 NA 52.4 0.12 0.32 15.1 0.27 58 306 0.24 2.7
"Épinard, cuit" légumes "légumes cuits" NA 23.649532973235193 92.8 3.2 0.5 0.14 0.47 2.7 NA 0 NA 140 0.1 2.14 54.4 0.43 40 396 0.65 2.1
"Haricot mungo germé ou pousse de ""soja"", appertisé, égoutté" légumes "légumes cuits" NA 22.608867359790906 95.8 1.56 2.36 0.12 1.78 1.63 NA 0 NA 13.4 0.047 0.26 7.53 0.039 26 31.5 0.11 0.65
"Haricot vert, cuit" légumes "légumes cuits" 29.4 27.741746975002528 89.3 2 3 0.17 1 4 0.062 0 NA 55.3 0.081 0.6 22.3 0.19 36 174 0.2 5
"Navet, cuit" légumes "légumes cuits" NA 25.71114519783322 93.4 0.9 3.8 0.2 2.9 2.2 NA 0 NA 37.3 0.045 0.11 8.75 0.045 26 237 0.099 5.6
"Oignon, cuit" légumes "légumes cuits" NA 37.02503482638347 90.4 1.3 6.2 0.2 4 1.4 NA 0 NA 29.2 0.077 0.21 13 0.12 44 220 0.19 2.1
"Petits pois, appertisés, égouttés" légumes "légumes cuits" 81.5 79.04049657701624 79.5 5.12 10.7 0.8 3.59 5.75 0.29 0 NA 20.6 0.079 1.29 16.3 0.17 73.1 71.5 0.42 6.9
"Petits pois, cuits" légumes "légumes cuits" NA 59.70397733774134 82.9 5.8 4.7 0.87 1.8 5.8 NA 0 NA 32.7 0.14 1.17 31.9 0.32 96 135 0.8 1.8
