nom groupe ssgroupe Energie Eau Proteines Glucides Lipides Sucres Fibres Calcium Cuivre Fer Magnesium Manganese Phosphore Potassium Zinc VitamineC
"Brocoli, surgelé, cru" légumes "légumes crus" NA 91.5 2.79 1.56 0.44 1.24 2.77 48.5 0.036 0.77 17 0.26 54.5 231 0.41 62.3
"Chou de Bruxelles, surgelé, cru" légumes "légumes crus" NA 86.3 3.43 4.5 0.33 2.35 4.28 34 0.043 0.82 22 0.29 65.5 427 0.37 77.5
"Carotte, surgelée, crue" légumes "légumes crus" NA 90.9 0.63 4.99 0.27 4.73 2.76 34.9 0.074 0.41 12 0.17 33 235 0.33 4.32
"Petits pois et carottes, surgelés, crus" légumes "légumes crus" NA 82.3 3.89 7.1 0.37 3.43 4.3 29.5 0.089 1.2 18 0.24 60 194 0.52 13.6
"Roquette, crue" légumes "légumes crus" NA 91.7 2.58 2.1 0.66 2.05 1.6 160 0.076 1.46 47 0.32 52 369 0.47 15
"Chou frisé, cru" légumes "légumes crus" NA 82.8 4.33 4.2 1.07 2.26 4.9 185 0.8 1.74 33.5 0.58 83 378 0.59 145
"Champignon de Paris ou champignon de couche, surgelé, cru" légumes "légumes crus" 15.9 93.2 1.8 0.83 0.25 0.25 1.97 10 NA 0.8 NA NA NA NA NA 4
"Courgette, pulpe et peau, surgelée, crue" légumes "légumes crus" NA 94.6 1.19 2.18 0.14 1.56 1.48 20 0.05 0.64 13 0.24 28 218 0.21 9.32
"Artichaut, fond, surgelé, cru" légumes "légumes crus" NA 84.7 2.08 8.09 0.43 1.89 7.54 NA NA NA NA NA NA NA NA NA
"Maïs doux, surgelé, cru" légumes "légumes crus" NA 71.8 3.28 19.8 0.78 3.78 2.8 4 0.051 0.68 32 0.16 87 294 0.7 7.2
"Navet, surgelé, cru" légumes "légumes crus" NA 95.7 0.82 2 0.18 1.9 1.85 23 0.045 0.7 10 0.071 20 137 0.14 4.4
"Oignon, surgelé, cru" légumes "légumes crus" NA 91.1 1 5.39 0.12 4.59 2.65 26.5 0.035 0.4 8.5 0.1 22.5 133 0.095 5.65
"Poireau, surgelé, cru" légumes "légumes crus" 26.7 93.2 1.42 3.35 0.29 2.95 2.55 63 NA 0.8 NA NA NA NA NA 26
"Salsifis, surgelé, cru" légumes "légumes crus" NA 85.8 2.65 4.15 0.15 2.5 5.8 NA NA NA NA NA NA NA NA NA
"Oignon rouge, cru" légumes "légumes crus" 36.3 90.3 1.31 5.63 0.4 5.2 2.5 22 0.05 0.19 9 0.12 29 190 0.21 4.09
"Légumes pour potages, surgelés, crus" légumes "légumes crus" 34.1 89.2 1.44 4.69 0.44 2.5 2.86 37 NA 1 NA NA NA NA NA 25
"Légumes pour ratatouille, surgelés" légumes "légumes crus" NA 94.2 1.01 3.23 0.089 2.88 1.67 NA NA NA NA NA NA NA NA NA
"Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons)" légumes "légumes crus" NA 85.7 2.4 8.48 0.078 2.62 3.62 NA NA NA NA NA NA NA NA 16
"Haricot plat, cru" légumes "légumes crus" NA 92.2 1.93 4.47 0.12 1.3 2.97 60 NA 0.8 NA NA NA NA NA 16
"Asperge, verte, crue" légumes "légumes crus" NA 92.5 2.46 2.03 0.27 1.5 2.15 22.4 NA 1 12.2 NA 85.5 267 NA 15.5
"Chou romanesco ou brocoli à pomme, cru" légumes "légumes crus" NA 89.8 2.93 2.2 0.4 2.2 2.35 34.5 0.041 0.92 20 0.25 62 300 0.64 70.6
"Salade verte, crue, sans assaisonnement" légumes "légumes crus" NA 96.1 1.01 1.5 0.1 0.83 1.3 35.3 0.061 0.64 15.3 0.22 23.5 260 0.18 1.95
"Artichaut, cuit" légumes "légumes cuits" NA 85.8 2.53 0.99 0.28 0.99 8.3 42.9 0.082 0.67 44.6 0.14 73 427 0.29 9.1
"Asperge, bouillie/cuite à l'eau" légumes "légumes cuits" NA 93.4 2.68 0.81 0.32 0.81 1.8 19.9 0.074 0.74 6.31 0.049 51.5 198 0.2 16.1
"Aubergine, cuite" légumes "légumes cuits" NA 88.6 1.33 4.17 0.28 3.41 4.3 20.1 0.058 0.25 15 0.12 15 123 0.098 1.3
"Betterave rouge, cuite" légumes "légumes cuits" 42.8 88.3 1.44 7.13 0.4 6.7 2.5 24 0.07 0.29 17 0.31 18 320 0.29 NA
"Brocoli, cuit" légumes "légumes cuits" NA 92.5 2.1 1.1 0.78 1.1 1.5 43.3 NA NA 11.2 NA 51 125 NA 23.9
"Carotte, appertisée, égouttée" légumes "légumes cuits" 21.9 93 0.67 3.4 0.2 2.49 1.75 25 0.1 0.64 8 0.45 24 179 0.26 2.7
"Carotte, cuite" légumes "légumes cuits" 18.9 93 0.55 2.6 0.1 1.3 2.8 31.5 NA NA 7.5 NA 18 96.4 NA NA
"Champignon, tout type, appertisé, égoutté" légumes "légumes cuits" 24.9 91.1 1.87 2.56 0.29 2.19 2.4 18.9 0.15 0.79 6.65 0.035 66 129 0.51 0
"Chou de Bruxelles, cuit" légumes "légumes cuits" NA 87.6 2.6 4.2 0.11 1.7 3.2 36.2 NA NA 16.9 NA 65 324 NA 56.4
"Chou vert, cuit" légumes "légumes cuits" NA 93.9 1.03 3.04 0.45 2.79 2.4 69.7 0.098 0.28 15.1 0.18 33 190 0.22 27.3
"Chou-fleur, cuit" légumes "légumes cuits" 20.9 93.7 1.6 1.6 0.46 1.59 2 19.2 0.05 0.31 12.9 0.12 34 238 0.22 9.7
"Coeur de palmier, appertisé, égoutté" légumes "légumes cuits" NA 90.2 2.45 4.03 0.5 1.5 2.32 58 0.13 3.13 38 1.39 65 177 1.15 7.9
"Courgette, pulpe et peau, cuite" légumes "légumes cuits" 15.5 93.8 0.93 1.4 0.36 1.39 1.5 19.3 0.085 0.32 22.3 0.089 65 238 0.22 2.9
"Céleri branche, cuit" légumes "légumes cuits" NA 94.1 0.83 1.2 0.16 1.2 1.6 53.3 0.059 0.42 9 0.11 25 284 0.077 6.1
"Céleri-rave, cuit" légumes "légumes cuits" NA 90.1 1.3 4.6 0.86 2.8 2.6 52.4 0.12 0.32 15.1 0.27 58 306 0.24 2.7
"Épinard, cuit" légumes "légumes cuits" NA 92.8 3.2 0.5 0.14 0.47 2.7 140 0.1 2.14 54.4 0.43 40 396 0.65 2.1
